😂,0.220968404
😒,-0.374729242
😩,-0.368362832
😭,-0.093376764
😍,0.677936783
😔,-0.146058091
👌,0.563760684
😊,0.644695543
❤,0.746086956521739
😏,0.332457293
😁,0.449977159
🎶,0.539229672
😳,0.017730496
💯,0.120879121
😴,-0.080779944
😌,0.484210526
☺,0.658098933074685
🙌,0.560424967
💕,0.632916667
😑,-0.314381271
😅,0.17965368
🙏,0.417803768680962
😕,-0.4
😘,0.701754386
♥,0.657614781634938
😐,-0.392592593
💁,0.327868852
😞,-0.118421053
🙈,0.432692308
😫,-0.145610278
✌,0.464146023468057
😎,0.4933687
😡,-0.173280423
👍,0.522114347
😢,0.006675567
😪,-0.080912863
😋,0.633514986
😤,-0.211009174
✋,0.126984126984127
😷,-0.170731707
👏,0.520547945
👀,0.063414634
🔫,-0.195364238
😣,-0.21402214
😈,0.267692308
😓,-0.080586081
💔,-0.12195122
♡,0.669873417721519
🎧,0.422535211
🙊,0.460689655
😉,0.46416831
💀,-0.208333333
😖,-0.156716418
😄,0.422031474
😜,0.456038647
😠,-0.302083333
🙅,-0.206060606
💪,0.555713272
👊,0.229257642
💜,0.656017039
💖,0.713380839
💙,0.73245614
😬,0.196261682
✨,0.352594339622641
